Sample,Time,Decoder,Ann Row,Ann Class,Value,
35028,1.751 s,Timing,Times,Time,1.350 ms (740.741 Hz),
35055,1.753 s,Timing,Times,Time,1.200 ms (833.333 Hz),
35079,1.754 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35105,1.755 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35131,1.757 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35157,1.758 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35183,1.759 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35209,1.760 s,Timing,Times,Time,3.100 ms (322.581 Hz),
35271,1.764 s,Timing,Times,Time,1.250 ms (800.000 Hz),
35296,1.765 s,Timing,Times,Time,3.100 ms (322.581 Hz),
35358,1.768 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35384,1.769 s,Timing,Times,Time,3.000 ms (333.333 Hz),
35444,1.772 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35470,1.774 s,Timing,Times,Time,1.350 ms (740.741 Hz),
35497,1.775 s,Timing,Times,Time,1.250 ms (800.000 Hz),
35522,1.776 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35548,1.777 s,Timing,Times,Time,1.350 ms (740.741 Hz),
35575,1.779 s,Timing,Times,Time,1.200 ms (833.333 Hz),
35599,1.780 s,Timing,Times,Time,2.750 ms (363.636 Hz),
35654,1.783 s,Timing,Times,Time,2.750 ms (363.636 Hz),
35709,1.785 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35735,1.787 s,Timing,Times,Time,3.000 ms (333.333 Hz),
35795,1.790 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35821,1.791 s,Timing,Times,Time,1.350 ms (740.741 Hz),
35848,1.792 s,Timing,Times,Time,1.250 ms (800.000 Hz),
35873,1.794 s,Timing,Times,Time,1.300 ms (769.231 Hz),
35899,1.795 s,Timing,Times,Time,1.350 ms (740.741 Hz),
35926,1.796 s,Timing,Times,Time,3.000 ms (333.333 Hz),
35986,1.799 s,Timing,Times,Time,1.300 ms (769.231 Hz),
36012,1.801 s,Timing,Times,Time,3.100 ms (322.581 Hz),
36074,1.804 s,Timing,Times,Time,1.250 ms (800.000 Hz),
36099,1.805 s,Timing,Times,Time,1.350 ms (740.741 Hz),
36126,1.806 s,Timing,Times,Time,1.300 ms (769.231 Hz),
36152,1.808 s,Timing,Times,Time,1.250 ms (800.000 Hz),
36177,1.809 s,Timing,Times,Time,1.250 ms (800.000 Hz),
36202,1.810 s,Timing,Times,Time,1.350 ms (740.741 Hz),
36229,1.811 s,Timing,Times,Time,1.250 ms (800.000 Hz),
36254,1.813 s,Timing,Times,Time,1.350 ms (740.741 Hz),
36281,1.814 s,Timing,Times,Time,1.300 ms (769.231 Hz),
36307,1.815 s,Timing,Times,Time,1.250 ms (800.000 Hz),
36332,1.817 s,Timing,Times,Time,1.300 ms (769.231 Hz),
36358,1.818 s,Timing,Times,Time,1.300 ms (769.231 Hz),
36384,1.819 s,Timing,Times,Time,1.300 ms (769.231 Hz),
36410,1.821 s,Timing,Times,Time,3.050 ms (327.869 Hz),
36471,1.824 s,Timing,Times,Time,1.400 ms (714.286 Hz),
36499,1.825 s,Timing,Times,Time,2.950 ms (338.983 Hz),
36558,1.828 s,Timing,Times,Time,1.300 ms (769.231 Hz),
36584,1.829 s,Timing,Times,Time,3.100 ms (322.581 Hz),
36646,1.832 s,Timing,Times,Time,1.250 ms (800.000 Hz),
36671,1.834 s,Timing,Times,Time,1.350 ms (740.741 Hz),
36698,1.835 s,Timing,Times,Time,1.300 ms (769.231 Hz),
36724,1.836 s,Timing,Times,Time,1.250 ms (800.000 Hz),
36749,1.837 s,Timing,Times,Time,1.300 ms (769.231 Hz),
36775,1.839 s,Timing,Times,Time,57.550 ms (17.376 Hz),
37926,1.896 s,Timing,Times,Time,2.700 ms (370.370 Hz),
37980,1.899 s,Timing,Times,Time,2.650 ms (377.358 Hz),
38033,1.902 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38059,1.903 s,Timing,Times,Time,3.100 ms (322.581 Hz),
38121,1.906 s,Timing,Times,Time,1.250 ms (800.000 Hz),
38146,1.907 s,Timing,Times,Time,1.350 ms (740.741 Hz),
38173,1.909 s,Timing,Times,Time,1.250 ms (800.000 Hz),
38198,1.910 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38224,1.911 s,Timing,Times,Time,1.350 ms (740.741 Hz),
38251,1.913 s,Timing,Times,Time,3.000 ms (333.333 Hz),
38311,1.916 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38337,1.917 s,Timing,Times,Time,3.100 ms (322.581 Hz),
38399,1.920 s,Timing,Times,Time,1.350 ms (740.741 Hz),
38426,1.921 s,Timing,Times,Time,1.200 ms (833.333 Hz),
38450,1.923 s,Timing,Times,Time,1.350 ms (740.741 Hz),
38477,1.924 s,Timing,Times,Time,1.250 ms (800.000 Hz),
38502,1.925 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38528,1.926 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38554,1.928 s,Timing,Times,Time,1.250 ms (800.000 Hz),
38579,1.929 s,Timing,Times,Time,1.350 ms (740.741 Hz),
38606,1.930 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38632,1.932 s,Timing,Times,Time,1.250 ms (800.000 Hz),
38657,1.933 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38683,1.934 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38709,1.935 s,Timing,Times,Time,1.250 ms (800.000 Hz),
38734,1.937 s,Timing,Times,Time,3.150 ms (317.460 Hz),
38797,1.940 s,Timing,Times,Time,1.250 ms (800.000 Hz),
