Sample,Time,Decoder,Ann Row,Ann Class,Value,
53309,2.665 s,Timing,Times,Time,1.200 ms (833.333 Hz),
53333,2.667 s,Timing,Times,Time,1.100 ms (909.091 Hz),
53355,2.668 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53380,2.669 s,Timing,Times,Time,1.050 ms (952.381 Hz),
53401,2.670 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53426,2.671 s,Timing,Times,Time,1.050 ms (952.381 Hz),
53447,2.672 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53472,2.674 s,Timing,Times,Time,2.850 ms (350.877 Hz),
53529,2.676 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53554,2.678 s,Timing,Times,Time,2.850 ms (350.877 Hz),
53611,2.681 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53636,2.682 s,Timing,Times,Time,2.800 ms (357.143 Hz),
53692,2.685 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53717,2.686 s,Timing,Times,Time,1.100 ms (909.091 Hz),
53739,2.687 s,Timing,Times,Time,1.200 ms (833.333 Hz),
53763,2.688 s,Timing,Times,Time,1.100 ms (909.091 Hz),
53785,2.689 s,Timing,Times,Time,1.250 ms (800.000 Hz),
53810,2.691 s,Timing,Times,Time,58.200 ms (17.182 Hz),
54974,2.749 s,Timing,Times,Time,2.650 ms (377.358 Hz),
55027,2.751 s,Timing,Times,Time,2.550 ms (392.157 Hz),
55078,2.754 s,Timing,Times,Time,1.200 ms (833.333 Hz),
55102,2.755 s,Timing,Times,Time,2.850 ms (350.877 Hz),
55159,2.758 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55184,2.759 s,Timing,Times,Time,1.050 ms (952.381 Hz),
55205,2.760 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55230,2.761 s,Timing,Times,Time,1.100 ms (909.091 Hz),
55252,2.763 s,Timing,Times,Time,1.200 ms (833.333 Hz),
55276,2.764 s,Timing,Times,Time,2.850 ms (350.877 Hz),
55333,2.767 s,Timing,Times,Time,1.300 ms (769.231 Hz),
55359,2.768 s,Timing,Times,Time,2.800 ms (357.143 Hz),
55415,2.771 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55440,2.772 s,Timing,Times,Time,1.050 ms (952.381 Hz),
55461,2.773 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55486,2.774 s,Timing,Times,Time,1.050 ms (952.381 Hz),
55507,2.775 s,Timing,Times,Time,1.300 ms (769.231 Hz),
55533,2.777 s,Timing,Times,Time,1.050 ms (952.381 Hz),
55554,2.778 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55579,2.779 s,Timing,Times,Time,1.050 ms (952.381 Hz),
55600,2.780 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55625,2.781 s,Timing,Times,Time,1.050 ms (952.381 Hz),
55646,2.782 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55671,2.784 s,Timing,Times,Time,1.100 ms (909.091 Hz),
55693,2.785 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55718,2.786 s,Timing,Times,Time,2.800 ms (357.143 Hz),
55774,2.789 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55799,2.790 s,Timing,Times,Time,2.850 ms (350.877 Hz),
55856,2.793 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55881,2.794 s,Timing,Times,Time,2.850 ms (350.877 Hz),
55938,2.797 s,Timing,Times,Time,1.250 ms (800.000 Hz),
55963,2.798 s,Timing,Times,Time,1.050 ms (952.381 Hz),
55984,2.799 s,Timing,Times,Time,1.250 ms (800.000 Hz),
56009,2.800 s,Timing,Times,Time,1.050 ms (952.381 Hz),
56030,2.801 s,Timing,Times,Time,1.250 ms (800.000 Hz),
56055,2.803 s,Timing,Times,Time,57.450 ms (17.406 Hz),
57204,2.860 s,Timing,Times,Time,2.600 ms (384.615 Hz),
57256,2.863 s,Timing,Times,Time,2.500 ms (400.000 Hz),
57306,2.865 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57331,2.867 s,Timing,Times,Time,2.850 ms (350.877 Hz),
57388,2.869 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57413,2.871 s,Timing,Times,Time,1.050 ms (952.381 Hz),
57434,2.872 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57459,2.873 s,Timing,Times,Time,1.050 ms (952.381 Hz),
57480,2.874 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57505,2.875 s,Timing,Times,Time,2.850 ms (350.877 Hz),
57562,2.878 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57587,2.879 s,Timing,Times,Time,2.850 ms (350.877 Hz),
57644,2.882 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57669,2.883 s,Timing,Times,Time,1.050 ms (952.381 Hz),
57690,2.885 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57715,2.886 s,Timing,Times,Time,1.050 ms (952.381 Hz),
57736,2.887 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57761,2.888 s,Timing,Times,Time,1.050 ms (952.381 Hz),
57782,2.889 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57807,2.890 s,Timing,Times,Time,1.100 ms (909.091 Hz),
57829,2.891 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57854,2.893 s,Timing,Times,Time,1.050 ms (952.381 Hz),
57875,2.894 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57900,2.895 s,Timing,Times,Time,1.050 ms (952.381 Hz),
57921,2.896 s,Timing,Times,Time,1.250 ms (800.000 Hz),
57946,2.897 s,Timing,Times,Time,2.850 ms (350.877 Hz),
58003,2.900 s,Timing,Times,Time,1.250 ms (800.000 Hz),
58028,2.901 s,Timing,Times,Time,2.850 ms (350.877 Hz),
58085,2.904 s,Timing,Times,Time,1.250 ms (800.000 Hz),
58110,2.905 s,Timing,Times,Time,2.850 ms (350.877 Hz),
58167,2.908 s,Timing,Times,Time,1.200 ms (833.333 Hz),
58191,2.910 s,Timing,Times,Time,1.050 ms (952.381 Hz),
58212,2.911 s,Timing,Times,Time,1.300 ms (769.231 Hz),
58238,2.912 s,Timing,Times,Time,1.050 ms (952.381 Hz),
58259,2.913 s,Timing,Times,Time,1.250 ms (800.000 Hz),
58284,2.914 s,Timing,Times,Time,57.400 ms (17.422 Hz),
59432,2.972 s,Timing,Times,Time,2.600 ms (384.615 Hz),
59484,2.974 s,Timing,Times,Time,2.500 ms (400.000 Hz),
59534,2.977 s,Timing,Times,Time,1.250 ms (800.000 Hz),
59559,2.978 s,Timing,Times,Time,2.850 ms (350.877 Hz),
59616,2.981 s,Timing,Times,Time,1.250 ms (800.000 Hz),
59641,2.982 s,Timing,Times,Time,1.050 ms (952.381 Hz),
59662,2.983 s,Timing,Times,Time,1.300 ms (769.231 Hz),
59688,2.984 s,Timing,Times,Time,1.050 ms (952.381 Hz),
59709,2.985 s,Timing,Times,Time,1.200 ms (833.333 Hz),
59733,2.987 s,Timing,Times,Time,2.850 ms (350.877 Hz),
59790,2.990 s,Timing,Times,Time,1.250 ms (800.000 Hz),
59815,2.991 s,Timing,Times,Time,2.850 ms (350.877 Hz),
59872,2.994 s,Timing,Times,Time,1.250 ms (800.000 Hz),
59897,2.995 s,Timing,Times,Time,1.050 ms (952.381 Hz),
59918,2.996 s,Timing,Times,Time,1.250 ms (800.000 Hz),
59943,2.997 s,Timing,Times,Time,1.050 ms (952.381 Hz),
59964,2.998 s,Timing,Times,Time,1.300 ms (769.231 Hz),
59990,2.999 s,Timing,Times,Time,1.050 ms (952.381 Hz),
60011,3.001 s,Timing,Times,Time,1.250 ms (800.000 Hz),
60036,3.002 s,Timing,Times,Time,1.050 ms (952.381 Hz),
60057,3.003 s,Timing,Times,Time,1.250 ms (800.000 Hz),
60082,3.004 s,Timing,Times,Time,1.050 ms (952.381 Hz),
60103,3.005 s,Timing,Times,Time,1.250 ms (800.000 Hz),
60128,3.006 s,Timing,Times,Time,1.100 ms (909.091 Hz),
60150,3.007 s,Timing,Times,Time,1.200 ms (833.333 Hz),
60174,3.009 s,Timing,Times,Time,2.850 ms (350.877 Hz),
60231,3.012 s,Timing,Times,Time,1.250 ms (800.000 Hz),
60256,3.013 s,Timing,Times,Time,2.850 ms (350.877 Hz),
60313,3.016 s,Timing,Times,Time,1.250 ms (800.000 Hz),
60338,3.017 s,Timing,Times,Time,2.850 ms (350.877 Hz),
60395,3.020 s,Timing,Times,Time,1.250 ms (800.000 Hz),
60420,3.021 s,Timing,Times,Time,1.050 ms (952.381 Hz),
60441,3.022 s,Timing,Times,Time,1.250 ms (800.000 Hz),
60466,3.023 s,Timing,Times,Time,1.050 ms (952.381 Hz),
60487,3.024 s,Timing,Times,Time,1.250 ms (800.000 Hz),
60512,3.026 s,Timing,Times,Time,3.684 s  (0.271 Hz),
134192,6.710 s,Timing,Times,Time,2.600 ms (384.615 Hz),
134244,6.712 s,Timing,Times,Time,2.550 ms (392.157 Hz),
134295,6.715 s,Timing,Times,Time,1.250 ms (800.000 Hz),
134320,6.716 s,Timing,Times,Time,2.850 ms (350.877 Hz),
134377,6.719 s,Timing,Times,Time,1.200 ms (833.333 Hz),
134401,6.720 s,Timing,Times,Time,1.100 ms (909.091 Hz),
134423,6.721 s,Timing,Times,Time,1.200 ms (833.333 Hz),
134447,6.722 s,Timing,Times,Time,1.150 ms (869.565 Hz),
134470,6.723 s,Timing,Times,Time,1.200 ms (833.333 Hz),
134494,6.725 s,Timing,Times,Time,2.850 ms (350.877 Hz),
134551,6.728 s,Timing,Times,Time,1.250 ms (800.000 Hz),
134576,6.729 s,Timing,Times,Time,2.850 ms (350.877 Hz),
134633,6.732 s,Timing,Times,Time,1.200 ms (833.333 Hz),
134657,6.733 s,Timing,Times,Time,1.100 ms (909.091 Hz),
134679,6.734 s,Timing,Times,Time,1.200 ms (833.333 Hz),
134703,6.735 s,Timing,Times,Time,1.100 ms (909.091 Hz),
134725,6.736 s,Timing,Times,Time,1.250 ms (800.000 Hz),
134750,6.737 s,Timing,Times,Time,1.100 ms (909.091 Hz),
134772,6.739 s,Timing,Times,Time,1.200 ms (833.333 Hz),
134796,6.740 s,Timing,Times,Time,1.100 ms (909.091 Hz),
134818,6.741 s,Timing,Times,Time,1.200 ms (833.333 Hz),
134842,6.742 s,Timing,Times,Time,1.100 ms (909.091 Hz),
134864,6.743 s,Timing,Times,Time,1.250 ms (800.000 Hz),
134889,6.744 s,Timing,Times,Time,1.050 ms (952.381 Hz),
134910,6.745 s,Timing,Times,Time,1.250 ms (800.000 Hz),
134935,6.747 s,Timing,Times,Time,2.850 ms (350.877 Hz),
134992,6.750 s,Timing,Times,Time,1.250 ms (800.000 Hz),
135017,6.751 s,Timing,Times,Time,1.050 ms (952.381 Hz),
135038,6.752 s,Timing,Times,Time,1.250 ms (800.000 Hz),
135063,6.753 s,Timing,Times,Time,2.850 ms (350.877 Hz),
135120,6.756 s,Timing,Times,Time,1.250 ms (800.000 Hz),
135145,6.757 s,Timing,Times,Time,1.050 ms (952.381 Hz),
135166,6.758 s,Timing,Times,Time,1.250 ms (800.000 Hz),
135191,6.760 s,Timing,Times,Time,2.850 ms (350.877 Hz),
135248,6.762 s,Timing,Times,Time,1.250 ms (800.000 Hz),
135273,6.764 s,Timing,Times,Time,57.400 ms (17.422 Hz),
136421,6.821 s,Timing,Times,Time,2.600 ms (384.615 Hz),
136473,6.824 s,Timing,Times,Time,2.500 ms (400.000 Hz),
136523,6.826 s,Timing,Times,Time,1.250 ms (800.000 Hz),
136548,6.827 s,Timing,Times,Time,2.850 ms (350.877 Hz),
136605,6.830 s,Timing,Times,Time,1.250 ms (800.000 Hz),
136630,6.832 s,Timing,Times,Time,1.050 ms (952.381 Hz),
136651,6.833 s,Timing,Times,Time,1.250 ms (800.000 Hz),
136676,6.834 s,Timing,Times,Time,1.100 ms (909.091 Hz),
136698,6.835 s,Timing,Times,Time,1.200 ms (833.333 Hz),
136722,6.836 s,Timing,Times,Time,2.850 ms (350.877 Hz),
136779,6.839 s,Timing,Times,Time,1.250 ms (800.000 Hz),
136804,6.840 s,Timing,Times,Time,2.850 ms (350.877 Hz),
136861,6.843 s,Timing,Times,Time,1.250 ms (800.000 Hz),
136886,6.844 s,Timing,Times,Time,1.050 ms (952.381 Hz),
136907,6.845 s,Timing,Times,Time,1.250 ms (800.000 Hz),
136932,6.847 s,Timing,Times,Time,1.050 ms (952.381 Hz),
136953,6.848 s,Timing,Times,Time,1.250 ms (800.000 Hz),
136978,6.849 s,Timing,Times,Time,1.100 ms (909.091 Hz),
137000,6.850 s,Timing,Times,Time,1.250 ms (800.000 Hz),
137025,6.851 s,Timing,Times,Time,1.050 ms (952.381 Hz),
137046,6.852 s,Timing,Times,Time,1.250 ms (800.000 Hz),
137071,6.854 s,Timing,Times,Time,1.050 ms (952.381 Hz),
137092,6.855 s,Timing,Times,Time,1.250 ms (800.000 Hz),
137117,6.856 s,Timing,Times,Time,2.850 ms (350.877 Hz),
137174,6.859 s,Timing,Times,Time,1.250 ms (800.000 Hz),
137199,6.860 s,Timing,Times,Time,1.050 ms (952.381 Hz),
137220,6.861 s,Timing,Times,Time,1.250 ms (800.000 Hz),
137245,6.862 s,Timing,Times,Time,1.050 ms (952.381 Hz),
137266,6.863 s,Timing,Times,Time,1.250 ms (800.000 Hz),
137291,6.865 s,Timing,Times,Time,2.850 ms (350.877 Hz),
137348,6.867 s,Timing,Times,Time,1.250 ms (800.000 Hz),
137373,6.869 s,Timing,Times,Time,1.050 ms (952.381 Hz),
137394,6.870 s,Timing,Times,Time,1.250 ms (800.000 Hz),
137419,6.871 s,Timing,Times,Time,2.800 ms (357.143 Hz),
137475,6.874 s,Timing,Times,Time,1.300 ms (769.231 Hz),
137501,6.875 s,Timing,Times,Time,58.300 ms (17.153 Hz),
138667,6.933 s,Timing,Times,Time,2.650 ms (377.358 Hz),
138720,6.936 s,Timing,Times,Time,2.500 ms (400.000 Hz),
138770,6.939 s,Timing,Times,Time,1.250 ms (800.000 Hz),
138795,6.940 s,Timing,Times,Time,2.850 ms (350.877 Hz),
138852,6.943 s,Timing,Times,Time,1.250 ms (800.000 Hz),
138877,6.944 s,Timing,Times,Time,1.050 ms (952.381 Hz),
138898,6.945 s,Timing,Times,Time,1.250 ms (800.000 Hz),
138923,6.946 s,Timing,Times,Time,1.050 ms (952.381 Hz),
138944,6.947 s,Timing,Times,Time,1.250 ms (800.000 Hz),
138969,6.948 s,Timing,Times,Time,2.850 ms (350.877 Hz),
139026,6.951 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139051,6.953 s,Timing,Times,Time,2.850 ms (350.877 Hz),
139108,6.955 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139133,6.957 s,Timing,Times,Time,1.050 ms (952.381 Hz),
139154,6.958 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139179,6.959 s,Timing,Times,Time,1.050 ms (952.381 Hz),
139200,6.960 s,Timing,Times,Time,1.300 ms (769.231 Hz),
139226,6.961 s,Timing,Times,Time,1.000 ms (1.000 kHz),
139246,6.962 s,Timing,Times,Time,1.300 ms (769.231 Hz),
139272,6.964 s,Timing,Times,Time,1.050 ms (952.381 Hz),
139293,6.965 s,Timing,Times,Time,1.250 ms (800.000 Hz),
139318,6.966 s,Timing,Times,Time,1.050 ms (952.381 Hz),
