Sample,Time,Decoder,Ann Row,Ann Class,Value,
43102,2.155 s,Timing,Times,Time,1.300 ms (769.231 Hz),
43128,2.156 s,Timing,Times,Time,1.150 ms (869.565 Hz),
43151,2.158 s,Timing,Times,Time,1.300 ms (769.231 Hz),
43177,2.159 s,Timing,Times,Time,1.150 ms (869.565 Hz),
43200,2.160 s,Timing,Times,Time,1.300 ms (769.231 Hz),
43226,2.161 s,Timing,Times,Time,1.150 ms (869.565 Hz),
43249,2.162 s,Timing,Times,Time,1.300 ms (769.231 Hz),
43275,2.164 s,Timing,Times,Time,3.750 ms (266.667 Hz),
43350,2.167 s,Timing,Times,Time,1.300 ms (769.231 Hz),
43376,2.169 s,Timing,Times,Time,1.150 ms (869.565 Hz),
43399,2.170 s,Timing,Times,Time,1.250 ms (800.000 Hz),
43424,2.171 s,Timing,Times,Time,2.950 ms (338.983 Hz),
43483,2.174 s,Timing,Times,Time,1.250 ms (800.000 Hz),
43508,2.175 s,Timing,Times,Time,1.200 ms (833.333 Hz),
43532,2.177 s,Timing,Times,Time,1.250 ms (800.000 Hz),
43557,2.178 s,Timing,Times,Time,2.950 ms (338.983 Hz),
43616,2.181 s,Timing,Times,Time,1.250 ms (800.000 Hz),
43641,2.182 s,Timing,Times,Time,15.800 ms (63.291 Hz),
43957,2.198 s,Timing,Times,Time,2.650 ms (377.358 Hz),
44010,2.200 s,Timing,Times,Time,2.650 ms (377.358 Hz),
44063,2.203 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44088,2.204 s,Timing,Times,Time,2.950 ms (338.983 Hz),
44147,2.207 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44172,2.209 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44196,2.210 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44221,2.211 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44245,2.212 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44270,2.213 s,Timing,Times,Time,2.950 ms (338.983 Hz),
44329,2.216 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44354,2.218 s,Timing,Times,Time,3.000 ms (333.333 Hz),
44414,2.221 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44438,2.222 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44463,2.223 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44487,2.224 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44512,2.226 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44536,2.227 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44560,2.228 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44585,2.229 s,Timing,Times,Time,1.400 ms (714.286 Hz),
44613,2.231 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44637,2.232 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44662,2.233 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44686,2.234 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44710,2.236 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44735,2.237 s,Timing,Times,Time,3.000 ms (333.333 Hz),
44795,2.240 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44819,2.241 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44843,2.242 s,Timing,Times,Time,1.250 ms (800.000 Hz),
44868,2.243 s,Timing,Times,Time,3.000 ms (333.333 Hz),
44928,2.246 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44952,2.248 s,Timing,Times,Time,1.200 ms (833.333 Hz),
44976,2.249 s,Timing,Times,Time,1.250 ms (800.000 Hz),
45001,2.250 s,Timing,Times,Time,2.950 ms (338.983 Hz),
45060,2.253 s,Timing,Times,Time,1.250 ms (800.000 Hz),
45085,2.254 s,Timing,Times,Time,4.000 ms (250.000 Hz),
45165,2.258 s,Timing,Times,Time,2.600 ms (384.615 Hz),
45217,2.261 s,Timing,Times,Time,2.650 ms (377.358 Hz),
45270,2.264 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45294,2.265 s,Timing,Times,Time,3.050 ms (327.869 Hz),
45355,2.268 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45379,2.269 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45403,2.270 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45427,2.271 s,Timing,Times,Time,1.250 ms (800.000 Hz),
45452,2.273 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45476,2.274 s,Timing,Times,Time,3.000 ms (333.333 Hz),
45536,2.277 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45560,2.278 s,Timing,Times,Time,3.000 ms (333.333 Hz),
45620,2.281 s,Timing,Times,Time,1.250 ms (800.000 Hz),
45645,2.282 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45669,2.283 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45693,2.285 s,Timing,Times,Time,1.250 ms (800.000 Hz),
45718,2.286 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45742,2.287 s,Timing,Times,Time,1.250 ms (800.000 Hz),
45767,2.288 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45791,2.290 s,Timing,Times,Time,1.250 ms (800.000 Hz),
45816,2.291 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45840,2.292 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45864,2.293 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45888,2.294 s,Timing,Times,Time,2.050 ms (487.805 Hz),
45929,2.296 s,Timing,Times,Time,1.200 ms (833.333 Hz),
45953,2.298 s,Timing,Times,Time,3.000 ms (333.333 Hz),
46013,2.301 s,Timing,Times,Time,1.250 ms (800.000 Hz),
46038,2.302 s,Timing,Times,Time,1.200 ms (833.333 Hz),
46062,2.303 s,Timing,Times,Time,1.200 ms (833.333 Hz),
46086,2.304 s,Timing,Times,Time,3.050 ms (327.869 Hz),
46147,2.307 s,Timing,Times,Time,1.200 ms (833.333 Hz),
46171,2.309 s,Timing,Times,Time,1.250 ms (800.000 Hz),
46196,2.310 s,Timing,Times,Time,1.200 ms (833.333 Hz),
46220,2.311 s,Timing,Times,Time,3.000 ms (333.333 Hz),
46280,2.314 s,Timing,Times,Time,1.150 ms (869.565 Hz),
46303,2.315 s,Timing,Times,Time,15.950 ms (62.696 Hz),
46622,2.331 s,Timing,Times,Time,2.500 ms (400.000 Hz),
46672,2.334 s,Timing,Times,Time,2.750 ms (363.636 Hz),
46727,2.336 s,Timing,Times,Time,1.150 ms (869.565 Hz),
