Sample,Time,Decoder,Ann Row,Ann Class,Value,
38385,1.919 s,Timing,Times,Time,2.650 ms (377.358 Hz),
38438,1.922 s,Timing,Times,Time,2.600 ms (384.615 Hz),
38490,1.925 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38516,1.926 s,Timing,Times,Time,2.950 ms (338.983 Hz),
38575,1.929 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38601,1.930 s,Timing,Times,Time,1.100 ms (909.091 Hz),
38623,1.931 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38649,1.932 s,Timing,Times,Time,1.150 ms (869.565 Hz),
38672,1.934 s,Timing,Times,Time,1.350 ms (740.741 Hz),
38699,1.935 s,Timing,Times,Time,2.900 ms (344.828 Hz),
38757,1.938 s,Timing,Times,Time,1.250 ms (800.000 Hz),
38782,1.939 s,Timing,Times,Time,2.950 ms (338.983 Hz),
38841,1.942 s,Timing,Times,Time,1.250 ms (800.000 Hz),
38866,1.943 s,Timing,Times,Time,1.200 ms (833.333 Hz),
38890,1.944 s,Timing,Times,Time,1.250 ms (800.000 Hz),
38915,1.946 s,Timing,Times,Time,1.150 ms (869.565 Hz),
38938,1.947 s,Timing,Times,Time,1.300 ms (769.231 Hz),
38964,1.948 s,Timing,Times,Time,1.150 ms (869.565 Hz),
38987,1.949 s,Timing,Times,Time,1.300 ms (769.231 Hz),
39013,1.951 s,Timing,Times,Time,1.150 ms (869.565 Hz),
39036,1.952 s,Timing,Times,Time,1.250 ms (800.000 Hz),
39061,1.953 s,Timing,Times,Time,1.150 ms (869.565 Hz),
39084,1.954 s,Timing,Times,Time,1.300 ms (769.231 Hz),
39110,1.956 s,Timing,Times,Time,1.150 ms (869.565 Hz),
39133,1.957 s,Timing,Times,Time,1.300 ms (769.231 Hz),
39159,1.958 s,Timing,Times,Time,2.950 ms (338.983 Hz),
39218,1.961 s,Timing,Times,Time,1.250 ms (800.000 Hz),
39243,1.962 s,Timing,Times,Time,1.150 ms (869.565 Hz),
39266,1.963 s,Timing,Times,Time,1.300 ms (769.231 Hz),
39292,1.965 s,Timing,Times,Time,2.900 ms (344.828 Hz),
39350,1.968 s,Timing,Times,Time,1.300 ms (769.231 Hz),
39376,1.969 s,Timing,Times,Time,1.150 ms (869.565 Hz),
39399,1.970 s,Timing,Times,Time,1.300 ms (769.231 Hz),
39425,1.971 s,Timing,Times,Time,2.950 ms (338.983 Hz),
39484,1.974 s,Timing,Times,Time,1.350 ms (740.741 Hz),
39511,1.976 s,Timing,Times,Time,15.900 ms (62.893 Hz),
39829,1.991 s,Timing,Times,Time,2.700 ms (370.370 Hz),
39883,1.994 s,Timing,Times,Time,2.550 ms (392.157 Hz),
39934,1.997 s,Timing,Times,Time,1.350 ms (740.741 Hz),
39961,1.998 s,Timing,Times,Time,2.850 ms (350.877 Hz),
40018,2.001 s,Timing,Times,Time,1.350 ms (740.741 Hz),
40045,2.002 s,Timing,Times,Time,1.100 ms (909.091 Hz),
40067,2.003 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40093,2.005 s,Timing,Times,Time,1.150 ms (869.565 Hz),
40116,2.006 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40142,2.007 s,Timing,Times,Time,2.950 ms (338.983 Hz),
40201,2.010 s,Timing,Times,Time,1.250 ms (800.000 Hz),
40226,2.011 s,Timing,Times,Time,2.950 ms (338.983 Hz),
40285,2.014 s,Timing,Times,Time,1.300 ms (769.231 Hz),
40311,2.016 s,Timing,Times,Time,1.100 ms (909.091 Hz),
40333,2.017 s,Timing,Times,Time,1.350 ms (740.741 Hz),
40360,2.018 s,Timing,Times,Time,1.100 ms (909.091 Hz),
