"Sample","Time","Decoder","Ann Row","Ann Class","Value",
"29432","1.472 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"29456","1.473 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"29478","1.474 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"29502","1.475 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29525","1.476 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29548","1.477 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29571","1.479 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29594","1.480 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29617","1.481 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29640","1.482 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29663","1.483 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29686","1.484 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29709","1.485 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"29767","1.488 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29790","1.490 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29813","1.491 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29836","1.492 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"29894","1.495 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29917","1.496 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"29974","1.499 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"29997","1.500 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"30021","1.501 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"30043","1.502 s","Timing","Times","Time","57.350 ms (17.437 Hz)",
"31190","1.560 s","Timing","Times","Time","2.550 ms (392.157 Hz)",
"31241","1.562 s","Timing","Times","Time","2.600 ms (384.615 Hz)",
"31293","1.565 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31316","1.566 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"31374","1.569 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"31396","1.570 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"31420","1.571 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31443","1.572 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31466","1.573 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31489","1.574 s","Timing","Times","Time","2.850 ms (350.877 Hz)",
"31546","1.577 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31569","1.578 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"31627","1.581 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31650","1.583 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31673","1.584 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31696","1.585 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31719","1.586 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31742","1.587 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31765","1.588 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31788","1.589 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"31812","1.591 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"31834","1.592 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"31858","1.593 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31881","1.594 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31904","1.595 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"31927","1.596 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"31985","1.599 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"32007","1.600 s","Timing","Times","Time","1.200 ms (833.333 Hz)",
"32031","1.602 s","Timing","Times","Time","1.100 ms (909.091 Hz)",
"32053","1.603 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"32111","1.606 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"32134","1.607 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"32192","1.610 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"32215","1.611 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"32238","1.612 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"32261","1.613 s","Timing","Times","Time","57.350 ms (17.437 Hz)",
"33408","1.670 s","Timing","Times","Time","2.500 ms (400.000 Hz)",
"33458","1.673 s","Timing","Times","Time","2.600 ms (384.615 Hz)",
"33510","1.675 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33533","1.677 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"33591","1.680 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33614","1.681 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33637","1.682 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33660","1.683 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33683","1.684 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33706","1.685 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"33764","1.688 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33787","1.689 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"33845","1.692 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33868","1.693 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33891","1.695 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33914","1.696 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33937","1.697 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33960","1.698 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"33983","1.699 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34006","1.700 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34029","1.701 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34052","1.703 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34075","1.704 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34098","1.705 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34121","1.706 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34144","1.707 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"34202","1.710 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34225","1.711 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34248","1.712 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34271","1.714 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"34329","1.716 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34352","1.718 s","Timing","Times","Time","2.900 ms (344.828 Hz)",
"34410","1.720 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
"34433","1.722 s","Timing","Times","Time","1.150 ms (869.565 Hz)",
