Sample,Time,Decoder,Ann Row,Ann Class,Value,
17894,357.880 ms,Timing,Times,Terse,1ms,
17952,359.040 ms,Timing,Times,Terse,1ms,
18009,360.180 ms,Timing,Times,Terse,1ms,
18068,361.360 ms,Timing,Times,Terse,1ms,
18125,362.500 ms,Timing,Times,Terse,1ms,
18183,363.660 ms,Timing,Times,Terse,1ms,
18240,364.800 ms,Timing,Times,Terse,1ms,
18298,365.960 ms,Timing,Times,Terse,1ms,
18355,367.100 ms,Timing,Times,Terse,1ms,
18413,368.260 ms,Timing,Times,Terse,1ms,
18471,369.420 ms,Timing,Times,Terse,3ms,
18615,372.300 ms,Timing,Times,Terse,1ms,
18672,373.440 ms,Timing,Times,Terse,1ms,
18730,374.600 ms,Timing,Times,Terse,1ms,
18787,375.740 ms,Timing,Times,Terse,3ms,
18932,378.640 ms,Timing,Times,Terse,1ms,
18989,379.780 ms,Timing,Times,Terse,3ms,
19134,382.680 ms,Timing,Times,Terse,1ms,
19191,383.820 ms,Timing,Times,Terse,1ms,
19249,384.980 ms,Timing,Times,Terse,1ms,
19306,386.120 ms,Timing,Times,Terse,57ms,
22172,443.440 ms,Timing,Times,Terse,3ms,
22299,445.980 ms,Timing,Times,Terse,3ms,
22429,448.580 ms,Timing,Times,Terse,1ms,
22486,449.720 ms,Timing,Times,Terse,3ms,
22631,452.620 ms,Timing,Times,Terse,1ms,
22688,453.760 ms,Timing,Times,Terse,1ms,
22746,454.920 ms,Timing,Times,Terse,1ms,
22803,456.060 ms,Timing,Times,Terse,1ms,
22861,457.220 ms,Timing,Times,Terse,1ms,
22918,458.360 ms,Timing,Times,Terse,3ms,
23063,461.260 ms,Timing,Times,Terse,1ms,
23120,462.400 ms,Timing,Times,Terse,3ms,
23265,465.300 ms,Timing,Times,Terse,1ms,
23322,466.440 ms,Timing,Times,Terse,1ms,
23380,467.600 ms,Timing,Times,Terse,1ms,
23437,468.740 ms,Timing,Times,Terse,1ms,
23495,469.900 ms,Timing,Times,Terse,1ms,
23552,471.040 ms,Timing,Times,Terse,1ms,
23610,472.200 ms,Timing,Times,Terse,1ms,
23668,473.360 ms,Timing,Times,Terse,1ms,
23726,474.520 ms,Timing,Times,Terse,1ms,
23783,475.660 ms,Timing,Times,Terse,1ms,
23841,476.820 ms,Timing,Times,Terse,1ms,
23898,477.960 ms,Timing,Times,Terse,1ms,
23956,479.120 ms,Timing,Times,Terse,1ms,
24013,480.260 ms,Timing,Times,Terse,3ms,
24158,483.160 ms,Timing,Times,Terse,1ms,
24215,484.300 ms,Timing,Times,Terse,1ms,
24273,485.460 ms,Timing,Times,Terse,1ms,
24330,486.600 ms,Timing,Times,Terse,3ms,
24475,489.500 ms,Timing,Times,Terse,1ms,
24532,490.640 ms,Timing,Times,Terse,3ms,
